DATE,DIESEL_RETAIL_PRICE
11/6/2017,2.882
11/13/2017,2.915
11/20/2017,2.912
11/27/2017,2.926
12/4/2017,2.922
12/11/2017,2.91
12/18/2017,2.901
12/25/2017,2.903
1/1/2018,2.973
1/8/2018,2.996
1/15/2018,3.028
1/22/2018,3.025
1/29/2018,3.07
2/5/2018,3.086
2/12/2018,3.063
2/19/2018,3.027
2/26/2018,3.007
3/5/2018,2.992
3/12/2018,2.976
3/19/2018,2.972
3/26/2018,3.01
4/2/2018,3.042
4/9/2018,3.043
4/16/2018,3.104
4/23/2018,3.133
4/30/2018,3.157
5/7/2018,3.171
5/14/2018,3.239
5/21/2018,3.277
5/28/2018,3.288
6/4/2018,3.285
6/11/2018,3.266
6/18/2018,3.244
6/25/2018,3.216
7/2/2018,3.236
7/9/2018,3.243
7/16/2018,3.239
7/23/2018,3.22
7/30/2018,3.226
8/6/2018,3.223
8/13/2018,3.217
8/20/2018,3.207
8/27/2018,3.226
9/3/2018,3.252
9/10/2018,3.258
9/17/2018,3.268
9/24/2018,3.271
10/1/2018,3.313
10/8/2018,3.385
10/15/2018,3.394
10/22/2018,3.38
10/29/2018,3.355
11/5/2018,3.338
11/12/2018,3.317
11/19/2018,3.282
11/26/2018,3.261
12/3/2018,3.207
12/10/2018,3.161
12/17/2018,3.121
12/24/2018,3.077
12/31/2018,3.048
1/7/2019,3.013
1/14/2019,2.976
1/21/2019,2.965
1/28/2019,2.965
2/4/2019,2.966
2/11/2019,2.966
2/18/2019,3.006
2/25/2019,3.048
3/4/2019,3.076
3/11/2019,3.079
3/18/2019,3.07
3/25/2019,3.08
4/1/2019,3.078
4/8/2019,3.093
4/15/2019,3.118
4/22/2019,3.147
4/29/2019,3.169
5/6/2019,3.171
5/13/2019,3.16
5/20/2019,3.163
5/27/2019,3.151
6/3/2019,3.136
6/10/2019,3.105
6/17/2019,3.07
6/24/2019,3.043
7/1/2019,3.042
7/8/2019,3.055
7/15/2019,3.051
7/22/2019,3.044
7/29/2019,3.034
8/5/2019,3.032
8/12/2019,3.011
8/19/2019,2.994
8/26/2019,2.983
9/2/2019,2.976
9/9/2019,2.971
9/16/2019,2.987
9/23/2019,3.081
9/30/2019,3.066
10/7/2019,3.047
10/14/2019,3.051
10/21/2019,3.05
10/28/2019,3.064
11/4/2019,3.062
11/11/2019,3.073
11/18/2019,3.074
11/25/2019,3.066
12/2/2019,3.07
12/9/2019,3.049
12/16/2019,3.046
12/23/2019,3.041
12/30/2019,3.069
1/6/2020,3.079
1/13/2020,3.064
1/20/2020,3.037
1/27/2020,3.01
2/3/2020,2.956
2/10/2020,2.91
2/17/2020,2.89
2/24/2020,2.882
3/2/2020,2.851
3/9/2020,2.814
3/16/2020,2.733
3/23/2020,2.659
3/30/2020,2.586
4/6/2020,2.548
4/13/2020,2.507
4/20/2020,2.48
4/27/2020,2.437
5/4/2020,2.399
5/11/2020,2.394
5/18/2020,2.386
5/25/2020,2.39
6/1/2020,2.386
6/8/2020,2.396
6/15/2020,2.403
6/22/2020,2.425
6/29/2020,2.43
7/6/2020,2.437
7/13/2020,2.438
7/20/2020,2.433
7/27/2020,2.427
8/3/2020,2.424
8/10/2020,2.428
8/17/2020,2.427
8/24/2020,2.426
8/31/2020,2.441
9/7/2020,2.435
9/14/2020,2.422
9/21/2020,2.404
9/28/2020,2.394
10/5/2020,2.387
10/12/2020,2.395
10/19/2020,2.388
10/26/2020,2.385
11/2/2020,2.372
11/9/2020,2.383
11/16/2020,2.441
11/23/2020,2.462
11/30/2020,2.502
12/7/2020,2.526
12/14/2020,2.559
12/21/2020,2.619
12/28/2020,2.635
1/4/2021,2.64
1/11/2021,2.67
1/18/2021,2.696
1/25/2021,2.716
2/1/2021,2.738
2/8/2021,2.801
2/15/2021,2.876
2/22/2021,2.973
3/1/2021,3.072
3/8/2021,3.143
3/15/2021,3.191
3/22/2021,3.194
3/29/2021,3.161
4/5/2021,3.144
4/12/2021,3.129
4/19/2021,3.124
4/26/2021,3.124
5/3/2021,3.142
5/10/2021,3.186
5/17/2021,3.249
5/24/2021,3.253
5/31/2021,3.255
6/7/2021,3.274
6/14/2021,3.286
6/21/2021,3.287
6/28/2021,3.3
7/5/2021,3.331
7/12/2021,3.338
7/19/2021,3.344
7/26/2021,3.342
8/2/2021,3.367
8/9/2021,3.364
8/16/2021,3.356
8/23/2021,3.324
8/30/2021,3.339
9/6/2021,3.373
9/13/2021,3.372
9/20/2021,3.385
9/27/2021,3.406
10/4/2021,3.477
10/11/2021,3.586
10/18/2021,3.671
10/25/2021,3.713
11/1/2021,3.727
11/8/2021,3.73
11/15/2021,3.734
11/22/2021,3.724
11/29/2021,3.72
12/6/2021,3.674
12/13/2021,3.649
12/20/2021,3.626
12/27/2021,3.615
1/3/2022,3.613
1/10/2022,3.657
1/17/2022,3.725
1/24/2022,3.78
1/31/2022,3.846
2/7/2022,3.951
2/14/2022,4.019
2/21/2022,4.055
2/28/2022,4.104
3/7/2022,4.849
3/14/2022,5.25
3/21/2022,5.134
3/28/2022,5.185
4/4/2022,5.144
4/11/2022,5.073
4/18/2022,5.101
4/25/2022,5.16
5/2/2022,5.509
5/9/2022,5.623
5/16/2022,5.613
5/23/2022,5.571
5/30/2022,5.539
6/6/2022,5.703
6/13/2022,5.718
6/20/2022,5.81
6/27/2022,5.783
7/4/2022,5.675
7/11/2022,5.568
7/18/2022,5.432
7/25/2022,5.268
8/1/2022,5.138
8/8/2022,4.993
8/15/2022,4.911
8/22/2022,4.909
8/29/2022,5.115
9/5/2022,5.084
9/12/2022,5.033
9/19/2022,4.964
9/26/2022,4.889
10/3/2022,4.836
10/10/2022,5.224
10/17/2022,5.339
10/24/2022,5.341
10/31/2022,5.317
11/7/2022,5.333
11/14/2022,5.313
11/21/2022,5.233
11/28/2022,5.141
12/5/2022,4.967
12/12/2022,4.754
12/19/2022,4.596
12/26/2022,4.537
1/2/2023,4.583
1/9/2023,4.549
1/16/2023,4.524
1/23/2023,4.604
1/30/2023,4.622
2/6/2023,4.539
2/13/2023,4.444
2/20/2023,4.376
2/27/2023,4.294
3/6/2023,4.282
3/13/2023,4.247
3/20/2023,4.185
3/27/2023,4.128
4/3/2023,4.105
4/10/2023,4.098
4/17/2023,4.116
4/24/2023,4.077
5/1/2023,4.018
5/8/2023,3.922
5/15/2023,3.897
5/22/2023,3.883
5/29/2023,3.855
6/5/2023,3.797
6/12/2023,3.794
6/19/2023,3.815
6/26/2023,3.801
7/3/2023,3.767
7/10/2023,3.806
7/17/2023,3.806
7/24/2023,3.905
7/31/2023,4.127
8/7/2023,4.239
8/14/2023,4.378
8/21/2023,4.389
8/28/2023,4.475
9/4/2023,4.492
9/11/2023,4.54
9/18/2023,4.633
9/25/2023,4.586
10/2/2023,4.593
10/9/2023,4.498
10/16/2023,4.444
10/23/2023,4.545
10/30/2023,4.454
11/6/2023,4.366
11/13/2023,4.294
11/20/2023,4.209
11/27/2023,4.146
12/4/2023,4.092
12/11/2023,3.987
12/18/2023,3.894
12/25/2023,3.914
1/1/2024,3.876
1/8/2024,3.828
1/15/2024,3.863
1/22/2024,3.838
1/29/2024,3.867
2/5/2024,3.899
2/12/2024,4.109
2/19/2024,4.109
2/26/2024,4.058
3/4/2024,4.022
3/11/2024,4.004
3/18/2024,4.028
3/25/2024,4.034
4/1/2024,3.996
4/8/2024,4.061
4/15/2024,4.015
4/22/2024,3.992
4/29/2024,3.947
5/6/2024,3.894
5/13/2024,3.848
5/20/2024,3.789
5/27/2024,3.758
6/3/2024,3.726
6/10/2024,3.658
6/17/2024,3.735
6/24/2024,3.769
7/1/2024,3.813
7/8/2024,3.865
7/15/2024,3.826
7/22/2024,3.779
7/29/2024,3.768
8/5/2024,3.755
8/12/2024,3.704
8/19/2024,3.688
8/26/2024,3.651
9/2/2024,3.625
9/9/2024,3.555
9/16/2024,3.526
9/23/2024,3.539
9/30/2024,3.544
10/7/2024,3.584
10/14/2024,3.631
10/21/2024,3.553
10/28/2024,3.573
11/4/2024,3.536
11/11/2024,3.521
11/18/2024,3.491
11/25/2024,3.539
12/2/2024,3.54
12/9/2024,3.458
12/16/2024,3.494
12/23/2024,3.476
12/30/2024,3.503
1/6/2025,3.561
1/13/2025,3.602
1/20/2025,3.715
1/27/2025,3.659
2/3/2025,3.66
2/10/2025,3.665
2/17/2025,3.677
2/24/2025,3.697
3/3/2025,3.635
